DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-03-18,KCB,KCB Group Plc,33.75,55.5,38.25,39.25,38.5,38.5,-0.15,0.000246,451400.0
2013-03-19,KCB,KCB Group Plc,33.75,55.5,38.5,39.0,38.75,38.5,0.0,0.0,1208400.0
2013-03-20,KCB,KCB Group Plc,33.75,55.5,38.25,39.0,38.5,38.75,0.0,0.0,704700.0
2013-03-21,KCB,KCB Group Plc,33.75,55.5,38.25,38.75,38.5,38.5,-0.15,0.000252,1049500.0
2013-03-22,KCB,KCB Group Plc,33.75,55.5,38.0,38.75,38.5,38.5,0.0,0.0,848300.0
2013-03-25,KCB,KCB Group Plc,33.75,55.5,38.5,39.5,39.0,38.5,0.0,0.0,5522600.0
2013-03-26,KCB,KCB Group Plc,33.75,55.5,39.25,40.25,40.0,39.0,0.0,0.0,687600.0
2013-03-27,KCB,KCB Group Plc,33.75,55.5,40.0,41.75,40.75,40.0,0.15,0.000259,6146800.0
2013-03-28,KCB,KCB Group Plc,33.75,55.5,41.0,41.75,41.5,40.75,0.05,8.4e-05,1184000.0
2013-04-02,KCB,KCB Group Plc,33.75,55.5,41.75,44.0,42.5,41.5,0.0,0.0,2609200.0
2013-04-03,KCB,KCB Group Plc,33.75,55.5,42.0,42.5,42.0,42.5,0.15,0.00025,2096100.0
2013-04-04,KCB,KCB Group Plc,33.75,55.5,42.25,42.75,42.25,42.0,0.1,0.00016299999999999998,1630000.0
2013-04-05,KCB,KCB Group Plc,33.75,55.5,42.25,42.75,42.5,42.25,0.05,8e-05,1061900.0
2013-04-08,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.5,0.05,7.900000000000001e-05,338300.0
2013-04-10,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.25,0.05,7.900000000000001e-05,806900.0
2013-04-11,KCB,KCB Group Plc,33.75,55.5,42.0,42.75,42.25,42.25,0.1,0.000156,1520500.0
2013-04-12,KCB,KCB Group Plc,33.75,55.5,42.0,42.5,42.0,42.25,0.0,0.0,2160600.0
2013-04-15,KCB,KCB Group Plc,33.75,55.5,42.0,42.5,42.0,42.0,-0.1,0.000154,399600.0
2013-04-16,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42.0,42.0,0.0,0.0,2654700.0
2013-04-17,KCB,KCB Group Plc,33.75,55.5,41.25,42.0,41.75,42.0,0.05,7.8e-05,9715100.0
2013-04-18,KCB,KCB Group Plc,33.75,55.5,40.0,41.75,41.0,41.75,0.1,0.000155,5338300.0
2013-04-19,KCB,KCB Group Plc,33.75,55.5,40.25,41.25,40.75,41.0,0.05,7.6e-05,230500.0
2013-04-22,KCB,KCB Group Plc,33.75,55.5,39.75,41.0,40.5,40.75,0.0,0.0,355500.0
2013-04-23,KCB,KCB Group Plc,33.75,55.5,40.5,41.0,40.75,40.5,0.0,0.0,1220300.0
2013-04-24,KCB,KCB Group Plc,33.75,55.5,40.5,42.0,41.75,40.75,0.0,0.0,2844000.0
2013-04-25,KCB,KCB Group Plc,33.75,55.5,41.0,42.0,41.5,41.75,0.0,0.0,1352200.0
2013-04-26,KCB,KCB Group Plc,33.75,55.5,41.5,41.75,41.5,41.5,0.05,7.6e-05,545100.0
2013-04-29,KCB,KCB Group Plc,33.75,55.5,41.5,41.75,41.5,41.5,0.05,7.5e-05,485700.0
2013-04-30,KCB,KCB Group Plc,33.75,55.5,41.5,42.5,42.0,41.5,0.1,0.000149,6183300.0
2013-05-02,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42.0,42.0,0.2,0.000294,8871700.0
2013-05-03,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42.0,42.0,0.05,7.099999999999999e-05,1229500.0
2013-05-06,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.0,0.0,0.0,4541500.0
2013-05-07,KCB,KCB Group Plc,33.75,55.5,41.75,42.75,42.25,42.25,0.05,7.099999999999999e-05,9702500.0
2013-05-08,KCB,KCB Group Plc,33.75,55.5,42.5,43.25,42.75,42.25,0.1,0.00014099999999999998,2210200.0
2013-05-09,KCB,KCB Group Plc,33.75,55.5,42.5,43.5,43.0,42.75,-0.05,6.9e-05,530300.0
2013-05-10,KCB,KCB Group Plc,33.75,55.5,42.75,43.5,43.0,43.0,-0.2,0.00028,1752500.0
2013-05-13,KCB,KCB Group Plc,33.75,55.5,42.0,43.0,42.75,43.0,-0.05,7.2e-05,2436500.0
2013-05-14,KCB,KCB Group Plc,33.75,55.5,39.0,41.0,40.5,42.75,0.2,0.00029,3191300.0
2013-05-15,KCB,KCB Group Plc,33.75,55.5,40.5,41.75,41.25,40.5,0.25,0.00035200000000000005,4338200.0
2013-05-16,KCB,KCB Group Plc,33.75,55.5,41.0,41.5,41.0,41.25,-0.1,0.000136,3799000.0
2013-05-17,KCB,KCB Group Plc,33.75,55.5,41.0,41.75,41.25,41.0,-0.1,0.000138,2287900.0
2013-05-20,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41.25,-0.15,0.00021,124400.0
2013-05-21,KCB,KCB Group Plc,33.75,55.5,41.25,42.0,41.5,41.25,0.05,7.099999999999999e-05,5304400.0
2013-05-22,KCB,KCB Group Plc,33.75,55.5,41.5,42.25,41.75,41.5,0.05,7.099999999999999e-05,901800.0
2013-05-23,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,42.0,41.75,-0.05,7e-05,963200.0
2013-05-24,KCB,KCB Group Plc,33.75,55.5,41.5,42.5,41.75,42.0,-0.05,7.099999999999999e-05,928700.0
2013-05-27,KCB,KCB Group Plc,33.75,55.5,41.25,42.0,41.25,41.75,-0.05,7.099999999999999e-05,1518700.0
2013-05-28,KCB,KCB Group Plc,33.75,55.5,41.25,42.75,41.75,41.25,0.1,0.000144,1272600.0
2013-05-29,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42.0,41.75,0.1,0.00014199999999999998,2008100.0
2013-05-30,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,41.75,42.0,0.1,0.00014,1459200.0
2013-05-31,KCB,KCB Group Plc,33.75,55.5,41.25,42.0,41.5,41.75,0.0,0.0,3477300.0
2013-06-03,KCB,KCB Group Plc,33.75,55.5,41.0,41.75,41.0,41.5,-0.1,0.000138,3127200.0
2013-06-04,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41.0,-0.05,7e-05,4021600.0
2013-06-05,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.5,41.25,0.0,0.0,2453700.0
2013-06-06,KCB,KCB Group Plc,33.75,55.5,41.25,41.75,41.25,41.5,0.05,7e-05,1682600.0
2013-06-07,KCB,KCB Group Plc,33.75,55.5,40.0,41.5,41.0,41.25,0.05,7e-05,2904400.0
2013-06-10,KCB,KCB Group Plc,33.75,55.5,40.0,41.0,40.5,41.0,0.05,6.9e-05,611500.0
2013-06-11,KCB,KCB Group Plc,33.75,55.5,40.0,41.0,40.5,40.5,0.1,0.000138,1354100.0
2013-06-12,KCB,KCB Group Plc,33.75,55.5,39.0,40.5,39.75,40.5,0.0,0.0,1001500.0
2013-06-13,KCB,KCB Group Plc,33.75,55.5,38.0,40.0,39.0,39.75,-0.05,6.8e-05,1279600.0
2013-06-14,KCB,KCB Group Plc,33.75,55.5,37.75,39.0,38.25,39.0,-0.3,0.00041100000000000007,1206300.0
2013-06-17,KCB,KCB Group Plc,33.75,55.5,36.5,38.25,37.25,38.25,-0.3,0.000429,639500.0
