Day Price,12m Low,12m High,Day Low,Day High,Previous,Volume_log,MA_5,STD_5,MA_12,STD_12,MA_50,STD_50,MA_200,STD_200,MA_5_vs_MA_50,MA_12_vs_MA_200,HighVol_5_vs_50,Daily_Range
5.15,23.5,33.5,5.1,5.25,5.1,15.796856932861175,5.125,0.03535533905932788,5.125,0.03535533905932788,5.125,0.03535533905932788,5.125,0.03535533905932788,0,0,0,0.15000000000000036
5.25,23.5,33.5,5.15,5.35,5.15,15.232794978142241,5.166666666666667,0.07637626158259733,5.166666666666667,0.07637626158259733,5.166666666666667,0.07637626158259733,5.166666666666667,0.07637626158259733,0,0,0,0.1999999999999993
5.35,23.5,33.5,5.2,5.45,5.25,15.226156253933716,5.2125,0.11086778913041694,5.2125,0.11086778913041694,5.2125,0.11086778913041694,5.2125,0.11086778913041694,0,0,0,0.25
5.6,23.5,33.5,5.4,5.85,5.35,16.21330591668049,5.29,0.19811612756158914,5.29,0.19811612756158914,5.29,0.19811612756158914,5.29,0.19811612756158914,0,0,0,0.4499999999999993
5.8,23.5,33.5,5.5,6.0,5.6,16.432366171913703,5.430000000000001,0.2659887215654071,5.375,0.27340446228984605,5.375,0.27340446228984605,5.375,0.27340446228984605,1,0,0,0.5
5.6,23.5,33.5,5.55,5.8,5.8,15.716154476496124,5.52,0.21965882636488693,5.4071428571428575,0.2636736799982307,5.4071428571428575,0.2636736799982307,5.4071428571428575,0.2636736799982307,1,0,0,0.25
5.6,23.5,33.5,5.6,5.7,5.6,15.3064804251765,5.59,0.15968719422671152,5.4312499999999995,0.2534582242275268,5.4312499999999995,0.2534582242275268,5.4312499999999995,0.2534582242275268,1,0,0,0.10000000000000053
5.6,23.5,33.5,5.6,5.7,5.6,16.209489170653384,5.64,0.08944271909998848,5.449999999999999,0.24366985862022372,5.449999999999999,0.24366985862022372,5.449999999999999,0.24366985862022372,1,0,0,0.10000000000000053
5.65,23.5,33.5,5.55,5.8,5.6,16.27409898499004,5.65,0.08660254037844055,5.47,0.2382808800088199,5.47,0.2382808800088199,5.47,0.2382808800088199,1,0,0,0.25
5.75,23.5,33.5,5.65,5.85,5.65,16.027328247104826,5.64,0.06519202405202223,5.495454545454545,0.24130327956178413,5.495454545454545,0.24130327956178413,5.495454545454545,0.24130327956178413,1,0,0,0.1999999999999993
