DATE,Day Price,Change%,12m Low,12m High,Day Low,Day High,Previous,Volume_log,MA_5,STD_5,MA_12,STD_12,MA_50,STD_50,MA_200,STD_200,MA_5_vs_MA_50,MA_12_vs_MA_200,HighVol_5_vs_50,Daily_Range
2013-01-03,31.0,9.8e-05,33.75,55.5,30.25,31.5,30.25,13.58029569059718,30.625,0.5303300858899106,30.625,0.5303300858899106,30.625,0.5303300858899106,30.625,0.5303300858899106,0,0,0,1.25
2013-01-04,31.0,0.000194,33.75,55.5,31.0,31.5,31.0,15.476534911814136,30.75,0.4330127018922193,30.75,0.4330127018922193,30.75,0.4330127018922193,30.75,0.4330127018922193,0,0,0,0.5
2013-01-07,31.0,0.0001899999999999,33.75,55.5,30.25,31.5,31.0,14.527332769538281,30.8125,0.375,30.8125,0.375,30.8125,0.375,30.8125,0.375,0,0,0,1.25
2013-01-08,31.0,0.0004669999999999,33.75,55.5,30.25,31.25,31.0,13.365467974838342,30.85,0.33541019662496835,30.85,0.33541019662496835,30.85,0.33541019662496835,30.85,0.33541019662496835,0,0,0,1.0
2013-01-09,31.25,0.0003569999999999,33.75,55.5,31.0,32.0,31.0,14.321726171945155,31.05,0.11180339887498929,30.916666666666668,0.34156502553198625,30.916666666666668,0.34156502553198625,30.916666666666668,0.34156502553198625,1,0,0,1.0
2013-01-10,31.75,0.000345,33.75,55.5,31.5,32.25,31.25,14.239274548932379,31.2,0.32596012026013255,31.035714285714285,0.4432026302139584,31.035714285714285,0.4432026302139584,31.035714285714285,0.4432026302139584,1,0,0,0.75
2013-01-11,32.75,0.0,33.75,55.5,31.5,33.25,31.75,15.086646841458965,31.55,0.7373940601876312,31.25,0.7319250547113985,31.25,0.7319250547113985,31.25,0.7319250547113985,1,0,1,1.75
2013-01-14,33.25,0.0,33.75,55.5,33.0,35.0,32.75,13.012104216284092,32.0,0.9682458365518541,31.47222222222222,0.9556120784316412,31.47222222222222,0.9556120784316412,31.47222222222222,0.9556120784316412,1,0,1,2.0
2013-01-15,34.25,8.9e-05,33.75,55.5,33.5,35.0,33.25,13.925799807433851,32.65,1.1937336386313324,31.75,1.2583057392117898,31.75,1.2583057392117898,31.75,1.2583057392117898,1,0,0,1.5
2013-01-16,34.5,0.000177,33.75,55.5,33.25,35.0,34.25,14.699898153792505,33.3,1.1236102527122125,32.0,1.4534441853748616,32.0,1.4534441853748616,32.0,1.4534441853748616,1,0,0,1.75
2013-01-17,32.75,0.0,33.75,55.5,31.75,34.0,34.5,13.431612695767244,33.5,0.8291561975888521,32.0625,1.4026152521110489,32.0625,1.4026152521110489,32.0625,1.4026152521110489,1,0,0,2.25
2013-01-18,32.75,0.0,33.75,55.5,32.5,33.25,32.75,13.70625468747567,33.5,0.8291561975888521,32.270833333333336,1.2900772234344104,32.11538461538461,1.35637147925765,32.11538461538461,1.35637147925765,1,1,0,0.75
2013-01-21,32.75,0.0,33.75,55.5,32.75,33.25,32.75,13.77946982331562,33.4,0.8944271909999177,32.416666666666664,1.2309149097933252,32.160714285714285,1.314150584309787,32.160714285714285,1.314150584309787,1,1,0,0.5
2013-01-22,33.0,0.000174,33.75,55.5,33.0,33.5,32.75,14.796652637040824,33.15,0.7623975340988471,32.583333333333336,1.1547005383792481,32.21666666666667,1.2847549330884995,32.21666666666667,1.2847549330884995,1,1,0,0.5
2013-01-23,33.0,8.800000000000001e-05,33.75,55.5,32.75,33.25,33.0,13.463966713106611,32.85,0.1369306393762994,32.75,1.0444659357341814,32.265625,1.2565453632877712,32.265625,1.2565453632877712,1,1,0,0.5
2013-01-24,32.75,0.0,33.75,55.5,32.75,33.25,33.0,13.401359334545612,32.85,0.1369306393762994,32.895833333333336,0.8884251473389448,32.294117647058826,1.222303454668322,32.294117647058826,1.222303454668322,1,1,0,0.5
2013-01-25,33.25,8.9e-05,33.75,55.5,33.0,33.5,32.75,13.582191662983412,32.95,0.2091650066335233,33.0625,0.7239804743725518,32.34722222222222,1.2070226156834174,32.34722222222222,1.2070226156834174,1,1,0,0.5
2013-01-28,33.5,0.00027,33.75,55.5,33.25,34.0,33.25,13.504219985060141,33.1,0.2850438562747871,33.208333333333336,0.6014502674722143,32.4078947368421,1.20245849522906,32.4078947368421,1.20245849522906,1,1,0,0.75
2013-01-29,33.5,0.000185,33.75,55.5,33.5,34.0,33.5,14.064556526345578,33.2,0.32596012026013427,33.270833333333336,0.5883174519274411,32.4625,1.1955922337794278,32.4625,1.1955922337794278,1,1,0,0.5
2013-01-30,33.5,0.0,33.75,55.5,33.5,34.0,33.5,14.88767653888383,33.3,0.32596012026013427,33.291666666666664,0.5919280259277815,32.51190476190476,1.1871083313986928,32.51190476190476,1.1871083313986928,1,1,0,0.5
2013-01-31,33.5,0.000283,33.75,55.5,33.5,33.75,33.5,14.590560714824633,33.45,0.11180339887499674,33.229166666666664,0.5163060814061199,32.55681818181818,1.17749688651347,32.55681818181818,1.17749688651347,1,1,0,0.25
2013-02-01,33.5,9.2e-05,33.75,55.5,33.5,34.0,33.5,15.296001069497203,33.5,0.0,33.145833333333336,0.3447385922255745,32.59782608695652,1.167113597811981,32.59782608695652,1.167113597811981,1,1,0,0.5
2013-02-04,33.75,9.1e-05,33.75,55.5,33.75,34.0,33.5,12.977339917490127,33.55,0.11180339887499027,33.229166666666664,0.36084391824347894,32.645833333333336,1.165436722273323,32.645833333333336,1.165436722273323,1,1,0,0.25
2013-02-05,34.25,9.2e-05,33.75,55.5,33.75,34.5,33.75,12.756218016006999,33.7,0.32596012026013205,33.354166666666664,0.4324656230863752,32.71,1.1851511858549235,32.71,1.1851511858549235,1,1,0,0.75
2013-02-06,34.75,0.0,33.75,55.5,34.25,35.0,34.25,15.366556566710754,33.95,0.5419870847169689,33.520833333333336,0.5483273463797416,32.78846153846154,1.2281944220934797,32.78846153846154,1.2281944220934797,1,1,0,0.75
2013-02-07,34.75,0.0,33.75,55.5,34.75,35.5,34.75,16.616960084047015,34.2,0.5700877125495672,33.666666666666664,0.6246210972673629,32.861111111111114,1.2621207224147442,32.861111111111114,1.2621207224147442,1,1,0,0.75
2013-02-08,35.5,0.000278,33.75,55.5,35.0,36.0,34.75,14.202472873624796,34.6,0.6519202405202625,33.875,0.779714399927635,32.955357142857146,1.33516119748906,32.955357142857146,1.33516119748906,1,1,0,1.0
2013-02-11,36.75,0.00018,33.75,55.5,35.75,37.5,35.5,14.625907743255969,35.2,0.9746794344808939,34.208333333333336,1.0597669841083095,33.08620689655172,1.4884613671101132,33.08620689655172,1.4884613671101132,1,1,0,1.75
2013-02-12,38.25,0.0,33.75,55.5,37.0,39.0,36.75,13.811503540582295,36.0,1.499999999999998,34.625,1.5281450430921886,33.25833333333333,1.7400992507034894,33.25833333333333,1.7400992507034894,1,1,0,2.0
2013-02-13,38.5,8.800000000000001e-05,33.75,55.5,38.25,39.0,38.25,14.373296673068763,36.75,1.6488632447841132,35.041666666666664,1.8427786989579844,33.42741935483871,1.9527689191537474,33.42741935483871,1.9527689191537474,1,1,0,0.75
2013-02-14,37.0,0.000175,33.75,55.5,36.0,38.25,38.5,15.24133832372898,37.2,1.2170661444638062,35.333333333333336,1.853538793930682,33.5390625,2.0221648561987102,33.5390625,2.0221648561987102,1,1,0,2.25
2013-02-15,37.0,8.9e-05,33.75,55.5,36.5,38.0,37.0,14.414787072123136,37.5,0.8100925873009781,35.625,1.813773063884419,33.64393939393939,2.079504056551011,33.64393939393939,2.079504056551011,1,1,0,1.5
2013-02-18,37.25,0.0,33.75,55.5,37.0,38.0,37.0,15.478982196370847,37.6,0.7202430145443919,35.9375,1.7357373335009638,33.75,2.1391020489349177,33.75,2.1391020489349177,1,1,0,1.0
2013-02-19,36.75,0.00018,33.75,55.5,36.25,37.5,37.25,14.650114331124735,37.3,0.6937218462755752,36.208333333333336,1.566094350654347,33.83571428571429,2.167560686054967,33.83571428571429,2.167560686054967,1,1,0,1.25
2013-02-20,36.5,8.800000000000001e-05,33.75,55.5,35.5,37.0,36.75,14.314648748988857,36.9,0.28504385627476975,36.4375,1.361504014616971,33.90972222222222,2.182031145661057,33.90972222222222,2.182031145661057,1,1,0,1.5
2013-02-21,36.25,0.0,33.75,55.5,35.75,36.75,36.5,14.776927989805158,36.75,0.3952847075210367,36.604166666666664,1.1796490875243018,33.972972972972975,2.1856411020629647,33.972972972972975,2.1856411020629647,1,1,0,1.0
2013-02-22,36.5,8.800000000000001e-05,33.75,55.5,36.25,36.75,36.25,14.032234346628217,36.65,0.3791437722025663,36.75,1.0280166252634877,34.03947368421053,2.1945312217128583,34.03947368421053,2.1945312217128583,1,1,0,0.5
2013-02-25,37.0,0.0,33.75,55.5,36.5,38.5,36.5,14.995365142204875,36.6,0.2850438562747688,36.9375,0.812718502088092,34.11538461538461,2.2167470787927104,34.11538461538461,2.2167470787927104,1,1,0,2.0
2013-02-26,39.25,0.0,33.75,55.5,38.5,39.5,37.0,15.94984278440682,37.1,1.2323757543866196,37.25,0.9231861823449673,34.24375,2.3338970244020625,34.24375,2.3338970244020625,1,1,0,1.0
2013-02-27,38.5,8.800000000000001e-05,33.75,55.5,37.25,39.0,39.25,13.85299996558035,37.5,1.3110110602126854,37.395833333333336,0.9738532494760691,34.34756097560975,2.3984878366251947,34.34756097560975,2.3984878366251947,1,1,0,1.75
2013-02-28,38.25,8.800000000000001e-05,33.75,55.5,37.5,38.75,38.5,12.760247946533124,37.9,1.1263880326068765,37.395833333333336,0.9738532494760691,34.44047619047619,2.444387251645006,34.44047619047619,2.444387251645006,1,1,0,1.25
2013-03-01,35.75,8.7e-05,33.75,55.5,35.0,37.5,38.25,16.03167693467427,37.75,1.3806701271484043,37.166666666666664,1.0131708402412203,34.47093023255814,2.4233544381934373,34.47093023255814,2.4233544381934373,1,1,0,2.5
2013-03-05,35.5,0.000259,33.75,55.5,35.5,36.0,35.75,13.78670050533976,37.45,1.7084349563269865,37.041666666666664,1.1222609754284638,34.49431818181818,2.400029454981333,34.49431818181818,2.400029454981333,1,1,0,0.5
2013-03-06,35.5,8.4e-05,33.75,55.5,35.5,36.0,35.5,14.836269767748862,36.7,1.5350081433008735,36.916666666666664,1.2076147288491,34.516666666666666,2.377331391593214,34.516666666666666,2.377331391593214,1,1,0,0.5
2013-03-07,36.0,8.5e-05,33.75,55.5,35.75,37.5,35.5,13.738738578954775,36.2,1.1645814698852102,36.8125,1.2299528815808527,34.54891304347826,2.360919997948884,34.54891304347826,2.360919997948884,1,1,0,1.75
2013-03-08,38.25,0.0,33.75,55.5,37.5,38.5,36.0,13.512242316449386,36.2,1.1645814698852102,36.9375,1.2973968692592057,34.62765957446808,2.3967098940784863,34.62765957446808,2.3967098940784863,1,1,0,1.0
2013-03-11,39.5,0.000336,33.75,55.5,38.0,40.0,38.25,14.745033753349105,36.95,1.8234582528810452,37.1875,1.4814190064688737,34.729166666666664,2.47317165077242,34.729166666666664,2.47317165077242,1,1,0,2.0
2013-03-12,40.25,0.0001629999999999,33.75,55.5,39.25,42.0,39.5,14.566502500106994,37.9,2.0961273816254566,37.520833333333336,1.6870439900140053,34.84183673469388,2.5712218832277185,34.84183673469388,2.5712218832277185,1,1,0,2.75
2013-03-13,39.75,0.0,33.75,55.5,39.5,40.0,40.25,15.016559391651484,38.75,1.7047727121232303,37.791666666666664,1.7672311848216151,34.94,2.6378137205818333,34.94,2.6378137205818333,1,1,0,0.5
2013-03-14,39.25,8e-05,33.75,55.5,39.0,39.75,39.75,14.97490463256848,39.4,0.7416198487095627,37.979166666666664,1.79474717557721,35.12,2.6182444655976322,35.02450980392157,2.6801375440267874,1,1,0,0.75
2013-03-15,38.5,0.000317,33.75,55.5,38.0,39.25,39.25,14.375355462507624,39.45,0.6471089552772361,37.916666666666664,1.7591750821612153,35.27,2.5920994563937376,35.09134615384615,2.69714302647802,1,1,0,1.25
2013-03-18,38.5,0.000246,33.75,55.5,38.25,39.25,38.5,13.020111358693203,39.25,0.7705517503711194,37.916666666666664,1.7591750821612153,35.42,2.5567238283971645,35.155660377358494,2.7118092948563075,1,1,0,1.0
2013-03-19,38.75,0.0,33.75,55.5,38.5,39.0,38.5,14.004808556034861,38.95,0.5419870847169664,37.958333333333336,1.7736497211493825,35.575,2.517920465262501,35.22222222222222,2.730275172161819,1,1,0,0.5
2013-03-20,38.5,0.0,33.75,55.5,38.25,39.0,38.75,13.465528878357672,38.7,0.32596012026012794,38.1875,1.6345871038277364,35.725,2.462602945118457,35.28181818181818,2.7407481344881575,1,1,0,0.75
2013-03-21,38.5,0.000252,33.75,55.5,38.25,38.75,38.5,13.863825371077054,38.55,0.11180339887497837,38.4375,1.3985585111431174,35.87,2.4065387118075923,35.339285714285715,2.7495572252755376,1,1,0,0.5
2013-03-22,38.5,0.0,33.75,55.5,38.0,38.75,38.5,13.650990804623376,38.55,0.11180339887497837,38.6875,1.050568028172437,36.005,2.359571259914017,35.39473684210526,2.7568694106483167,1,1,0,0.75
2013-03-25,39.0,0.0,33.75,55.5,38.5,39.5,38.5,15.524359502927641,38.65,0.22360679774997386,38.9375,0.6227231254008704,36.13,2.349142266393221,35.456896551724135,2.7732818021295573,1,1,0,1.0
2013-03-26,40.0,0.0,33.75,55.5,39.25,40.25,39.0,13.44096400682369,38.9,0.6519202405202634,39.083333333333336,0.6513389472788795,36.265,2.3740787687016573,35.53389830508475,2.812172443423194,1,1,0,1.0
2013-03-27,40.75,0.000259,33.75,55.5,40.0,41.75,40.0,15.631442341849576,39.35,0.9937303457175883,39.1875,0.8056970443489665,36.395,2.4385770775731666,35.62083333333333,2.868403141457086,1,1,0,1.75
2013-03-28,41.5,8.4e-05,33.75,55.5,41.0,41.75,40.75,13.984409939020326,39.95,1.2298373876248827,39.291666666666664,1.0103629710818107,36.535,2.526901183631191,35.717213114754095,2.942318887741171,1,1,0,0.75
2013-04-02,42.5,0.0,33.75,55.5,41.75,44.0,41.5,14.77455460216324,40.75,1.346291201783624,39.520833333333336,1.3712068893253337,36.73,2.60388250150283,35.82661290322581,3.0425900008501587,1,1,0,2.25
2013-04-03,42.0,0.00025,33.75,55.5,42.0,42.5,42.5,14.555589510285014,41.35,0.9937303457175867,39.75,1.5411035007422187,36.915,2.643634055690792,35.92460317460318,3.1165643953418174,1,1,0,0.5
2013-04-04,42.25,0.0001629999999999,33.75,55.5,42.25,42.75,42.0,14.30409118627969,41.8,0.6937218462755762,40.0625,1.6415243746978563,37.105,2.6793284644492816,36.0234375,3.19123264175608,1,1,0,0.5
2013-04-05,42.5,8e-05,33.75,55.5,42.25,42.75,42.25,13.875571256099752,42.15,0.4183300132670321,40.395833333333336,1.700462281174411,37.295,2.718835472501158,36.12307692307692,3.266521431066288,1,1,0,0.5
2013-04-08,42.25,7.900000000000001e-05,33.75,55.5,41.75,42.75,42.5,12.731691310720683,42.3,0.20916500663350818,40.6875,1.6926478718805424,37.48,2.735275981300157,36.21590909090909,3.3278794251792587,1,1,0,1.0
2013-04-10,42.25,7.900000000000001e-05,33.75,55.5,41.75,42.75,42.25,13.600956263146774,42.25,0.17677669529662368,41.0,1.5954480704349037,37.67,2.729954772743401,36.30597014925373,3.3838466813275923,1,1,0,1.0
2013-04-11,42.25,0.000156,33.75,55.5,42.0,42.75,42.25,14.234550443777735,42.3,0.11180339887496843,41.3125,1.4187262212664582,37.85,2.7292818820775406,36.393382352941174,3.4349814183138614,1,1,0,0.75
2013-04-12,42.0,0.0,33.75,55.5,42.0,42.5,42.25,14.585896981699312,42.25,0.17677669529662368,41.604166666666664,1.1152778563970545,38.02,2.7174980990549624,36.47463768115942,3.4757946952967935,1,1,0,0.5
2013-04-15,42.0,0.000154,33.75,55.5,42.0,42.5,42.0,12.898221828255906,42.15,0.13693063937627425,41.854166666666664,0.7572252977252287,38.19,2.694741667221779,36.55357142857143,3.5131463398169034,1,1,0,0.5
2013-04-16,42.0,0.0,33.75,55.5,41.75,42.5,42.0,14.791842588613878,42.1,0.13693063937627425,42.020833333333336,0.48216289841294124,38.36,2.6607310641848714,36.63028169014085,3.5473478913653516,1,1,0,0.75
2013-04-17,41.75,7.8e-05,33.75,55.5,41.25,42.0,42.0,16.089192037034028,42.0,0.17677669529662368,42.104166666666664,0.29112503822016733,38.525,2.6084879113527553,36.701388888888886,3.573582376490698,1,1,0,0.75
2013-04-18,41.0,0.000155,33.75,55.5,40.0,41.75,41.75,15.490417995517214,41.75,0.4330127018922139,42.0625,0.4006386946317978,38.675,2.528031621153305,36.76027397260274,3.584166171666526,1,1,0,1.75
2013-04-19,40.75,7.6e-05,33.75,55.5,40.25,41.25,41.0,12.348010479804223,41.5,0.5863019699779247,41.916666666666664,0.5258470799719848,38.815,2.4420894783787412,36.814189189189186,3.5896208853726326,1,1,0,1.0
2013-04-22,40.5,0.0,33.75,55.5,39.75,41.0,40.75,12.781283341160998,41.2,0.6471089552772361,41.791666666666664,0.6642950239071442,38.94,2.3623103530403498,36.86333333333334,3.5905970795102236,1,1,0,1.25
2013-04-23,40.75,0.0,33.75,55.5,40.5,41.0,40.5,14.014608107590217,40.95,0.48088460154178037,41.666666666666664,0.7097801622951974,39.06,2.296603525883828,36.91447368421053,3.5943364319391238,1,1,0,0.5
2013-04-24,41.75,0.0,33.75,55.5,40.5,42.0,40.75,14.860722421522647,40.95,0.48088460154178037,41.604166666666664,0.6610798099711067,39.2,2.241195927105317,36.97727272727273,3.6128839757193325,1,1,0,1.5
2013-04-25,41.5,0.0,33.75,55.5,41.0,42.0,41.75,14.117244193174013,41.05,0.5419870847169674,41.541666666666664,0.6291528696058332,39.32,2.199280958562109,37.03525641025641,3.625693923500216,1,1,0,1.0
